text	emoji	word
Elena's motorcycle tour through the region around Chernobyl has revived interest in one of the most serious nuclear disasters in history.	🏍️	motorcycle
Now you can tour Chernobyl and write your own story.	✍️	write
We all know that John Kerry served in Vietnam.	🇻🇳	Vietnam
Hey I just love your blog.	❤️	love
When the cities are on fire with the burning flesh of men	🔥	fire
Just remember that death is not the end - Bob Dylan	💀	death
I went across the bay last night to attend a farmer's market and music event.	🎶	music
Should there be death penalty, for deliberate multiple murders?	💀	death
Needs to go to $41 and then I will be happy.	😃	happy
In the meantime, we extend our best wishes for a safe and happy holiday season.	😊	happy
They're going to talk about their kids, they're going to talk about football, they're going to talk about the weather.	🏈	football
The staff do occasionally get game info correct, but if your looking fot a good game and aren'ta nerd, dont ask them.	🤓	nerd
I used to go here almost everyday since I work in the neighbourhood and loved their turkey and meatball sandwiches.	🥪	sandwiches
Chicken salad salad is great too.	🥗	salad
Rate a church?	⛪	church
Their worker even cleaned 3 of my windows and changed a lightbulb for me.	💡	lightbulb
It's a little hard to get to by foot, they're rebuilding the bridge, but you can get someone to moto-taxi you there for a dollar or less.	🦶	foot
I really need to engage brain before articulating!	🧠	brain
I am doing dirt work and hope to plant ST Augustine Grass by Friday before rain.	🌧️	rain
There is no escape from the collective ocean we all swim in.	🏊	swim
This circle operates mostly through mosques, madrasas and other religious establishments but also through inciting electronic and printed media.	🕌	mosques
Mosques are calling for donating blood, food, and medicine for Fallujah, and several convoys have already headed out for Fallujah, most of them returned later though.	🕌	Mosques
Waterproof clothing and footwear are essential plus an umbrella.	☂️	umbrella
You may also want to avoid Thanksgiving week and the Christmas holidays.	🎄	Christmas
