# text = I am doing dirt work and hope to plant ST Augustine Grass by Friday before rain.
1	I	I	PRON	PRP	Case=Nom|Number=Sing|Person=1|PronType=Prs	3	nsubj	3:nsubj|7:nsubj|9:nsubj:xsubj	_
2	am	be	AUX	VBP	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin	3	aux	3:aux	_
3	doing	do	VERB	VBG	Tense=Pres|VerbForm=Part	0	root	0:root	_
4	dirt	dirt	NOUN	NN	Number=Sing	5	compound	5:compound	_
5	work	work	NOUN	NN	Number=Sing	3	obj	3:obj	_
6	and	and	CCONJ	CC	_	7	cc	7:cc	_
7	hope	hope	VERB	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin	3	conj	3:conj:and	_
8	to	to	PART	TO	_	9	mark	9:mark	_
9	plant	plant	VERB	VB	VerbForm=Inf	7	xcomp	7:xcomp	_
10	ST	ST	PROPN	NNP	Number=Sing	12	compound	12:compound	_
11	Augustine	Augustine	PROPN	NNP	Number=Sing	12	compound	12:compound	_
12	Grass	grass	NOUN	NN	Number=Sing	9	obj	9:obj	_
13	by	by	ADP	IN	_	14	case	14:case	_
14	Friday	Friday	PROPN	NNP	Number=Sing	9	obl	9:obl:by	_
15	before	before	ADP	IN	_	16	case	16:case	_
16	rain	rain	NOUN	NN	Number=Sing	9	obl	9:obl:before	SpaceAfter=No
17	.	.	PUNCT	.	_	3	punct	3:punct	_
