tweet_id,emoji,emoji_code
720394340741341185,👨‍👨‍👧‍👦,1f468-200d-1f468-200d-1f467-200d-1f466
701174932605042689,👩‍👩‍👧‍👦,1f469-200d-1f469-200d-1f467-200d-1f466
691041942314946561,👨‍👩‍👧‍👧,1f468-200d-1f469-200d-1f467-200d-1f467
764957137302880256,👨‍👩‍👦‍👦,1f468-200d-1f469-200d-1f466-200d-1f466
803015323993702400,👨‍👩‍👧‍👦,1f468-200d-1f469-200d-1f467-200d-1f466
812808644915933184,🔒 👨‍👩‍👧‍👦,1f512 1f468-200d-1f469-200d-1f467-200d-1f466
748644662240387072,👩‍👩‍👧‍👦,1f469-200d-1f469-200d-1f467-200d-1f466
790323118946516992,👨‍👩‍👧‍👦,1f468-200d-1f469-200d-1f467-200d-1f466
806587060131942401,💒 👩‍❤️‍👩,1f492 1f469-200d-2764-fe0f-200d-1f469
720024115650916352,👨‍👩‍👧,1f468-200d-1f469-200d-1f467
