pos	text	emoji
Verb	I ❤️ Thanksgiving food	❤️
Verb	I ❤️ mirror & mirror ❤️ me too !	❤️
Verb	I ❤️ color vs color games.	❤️
Verb	My #bff made me the most adorable bee cake ever. I ❤️ 🐝! It's my birthday!	❤️
Adverb	My emotions went 🔼 then 🔽 so quick	🔼
Adverb	My Credit Score Went 🔼 7 Points 🙏🏽	🔼
Adverb	Spectrum bought Time Warner. I'm sure my bill just went 🔼	🔼
Adverb	Ted movies are dumb funn😹😹😹😹 automatically my mood went 🔼	🔼
Punctuation	Let's all welcome our 22nd 𝒉𝒆𝒂𝒅 𝒄𝒐𝒂𝒄𝒉 of the Golden Eagles‼️ #MadeInMississippi | #SMTTT	‼️
Punctuation	Heavy on my privacy. What you see is what I allow‼️	‼️
Punctuation	I MADE A PICTURE ‼️‼️ What do you think ❓✨😱	‼️
Punctuation	I MADE A PICTURE ‼️‼️ What do you think ❓✨😱	❓
Noun	This 🏠 is 🏆 Contact me for a tour! #raffarealestate	🏠
Noun	this 🏠 is your home this 🎪 is my home	🏠
Noun	Wow! This 🏠 is on 🔥 , 🚒wow! Wow!!	🏠
Noun	She kept her 🐕 dog but had to sell her 🐱....	🐕
Noun	Awee!! Look at her 🐕 !!!	🐕
Noun	Just a girl and her 🐕 Such a quiet Christmas	🐕
Adjective	Yeah he is 😎	😎
Adjective	obviously she is 😎😎😎😎	😎
Adjective	Yes, she is😎and I like it	😎
Adjective	Yes she is, very 😊🙏	😊
Adjective	Covid test girls!! One of which killed the nasal test like the mini boss she is 😊💗	😊
