text	emoji	word
Elena's 🏍️ tour through the region around Chernobyl has revived interest in one of the most serious nuclear disasters in history.	🏍️	motorcycle
Now you can tour Chernobyl and ✍️ your own story.	✍️	write
We all know that John Kerry served in 🇻🇳.	🇻🇳	Vietnam
Hey I just ❤️ your blog.	❤️	love
When the cities are on 🔥 with the burning flesh of men	🔥	fire
Just remember that 💀 is not the end - Bob Dylan	💀	death
I went across the bay last night to attend a farmer's market and 🎶 event.	🎶	music
Should there be 💀 penalty, for deliberate multiple murders?	💀	death
Needs to go to $41 and then I will be 😃.	😃	happy
In the meantime, we extend our best wishes for a safe and 😊 holiday season.	😊	happy
They're going to talk about their kids, they're going to talk about 🏈, they're going to talk about the weather.	🏈	football
The staff do occasionally get game info correct, but if your looking fot a good game and aren'ta 🤓, dont ask them.	🤓	nerd
I used to go here almost everyday since I work in the neighbourhood and loved their turkey and meatball 🥪.	🥪	sandwiches
Chicken 🥗 salad is great too.	🥗	salad
Rate a ⛪?	⛪	church
Their worker even cleaned 3 of my windows and changed a 💡 for me.	💡	lightbulb
It's a little hard to get to by 🦶, they're rebuilding the bridge, but you can get someone to moto-taxi you there for a dollar or less.	🦶	foot
I really need to engage 🧠 before articulating!	🧠	brain
I am doing dirt work and hope to plant ST Augustine Grass by Friday before 🌧️.	🌧️	rain
There is no escape from the collective ocean we all 🏊 in.	🏊	swim
This circle operates mostly through 🕌, madrasas and other religious establishments but also through inciting electronic and printed media.	🕌	mosques
🕌 are calling for donating blood, food, and medicine for Fallujah, and several convoys have already headed out for Fallujah, most of them returned later though.	🕌	Mosques
Waterproof clothing and footwear are essential plus an ☂️.	☂️	umbrella
You may also want to avoid Thanksgiving week and the 🎄 holidays.	🎄	Christmas
