text	emoji	word
Elena's 🏍️ tour through the region around Chernobyl has revived interest in one of the most serious ☢️ disasters in history.	🏍️ ☢️	motorcycle nuclear
Now you can tour Chernobyl and ✍️ your own story.	✍️	write
We all know that John Kerry served in 🇻🇳.	🇻🇳	Vietnam
Hey I just ❤️ your blog.	❤️	love
When the 🌇 are on 🔥 with the burning flesh of men	🌇 🔥	cities fire
Just remember that 💀 is not the 🔚 - Bob Dylan	💀 🔚	death end
I went across the bay last night to attend a farmer's market and 🎶 event.	🎶	music
Should there be 💀 penalty, for deliberate multiple murders?	💀	death
Needs to go to $41 and then I will be 😃.	😃	happy
In the meantime, we extend our best wishes for a safe and 😊 holiday season.	😊	happy
They're going to talk about their kids, they're going to talk about 🏈, they're going to talk about the ☁️.	🏈 ☁️	football weather
The 👩‍💼 do occasionally get game info correct, but if your looking fot a good game and aren'ta 🤓, dont ask them.	👩‍💼 🤓	staff nerd
I used to go here almost everyday since I work in the neighbourhood and loved their 🦃 and meatball 🥪.	🦃 🥪	turkey sandwiches
Chicken 🥗 🥗 is great too.	🥗 🥗	salad salad
Rate a ⛪?	⛪	church
Their worker even cleaned 3 of my 🪟 and changed a 💡 for me.	🪟 💡	windows lightbulb
It's a little hard to get to by 🦶🏽, they're rebuilding the bridge, but you can get someone to moto-taxi you there for a dollar or less.	🦶🏽	foot
I really need to engage 🧠 before articulating!	🧠	brain
I am doing dirt work and hope to plant ST Augustine Grass by Friday before 🌧️.	🌧️	rain
There is no escape from the collective ocean we all 🏊 in.	🏊	swim
This circle operates mostly through 🕌, madrasas and other religious establishments but also through inciting electronic and printed media.	🕌	mosques
🕌 are calling for donating blood, food, and 💊 for Fallujah, and several convoys have already headed out for Fallujah, most of them returned later though.	🕌 💊	Mosques medicine
Waterproof clothing and 👢 are essential plus an ☂️.	👢 ☂️	footwear umbrella
You may also want to avoid 🦃 week and the 🎄 holidays.	🦃 🎄	Thanksgiving Christmas
